sample-id	Fraction	Genotype	Soil	Experiment	lowgermination	replant	Depth
GC81GC2_806rcbc112	EC	SPX1/SPX2	MF21	GC2			110815
GC20GC2_806rcbc317	EC	pht1:1	MF21	GC2			114653
syncomP4_160125	Root	phf1		A			25815
syncomP4_160126	Root	phf1		A			25815
GC22GC1_806rcbc184	EC	pht1:1/pht1:4	MF21	GC1			28011
syncomP60_160125	Agar	Agar		A			47766
syncomP60_160126	Agar	Agar		A			47766
GC26GC1_806rcbc119	EC	pht1:1/pht1:4	MF21	GC1			10855
GC88GC1_806rcbc327	EC	phr1	MF21	GC1			2437
GC62GC2_806rcbc398							
GC96GC2_806rcbc119	Soil	Soil	MF21	GC2			176462
GC84GC1_806rcbc320	EC	phr1	MF21	GC1			38107
syncomP31_160125	Root	Col-0		B			56998
syncomP31_160126	Root	Col-0		B			56998
GC5GC2_806rcbc291	EC	Col	MF21	GC2			89372
GC46GC2_806rcbc157	EC	nla	MF21	GC2			41346
GC98GC1_806rcbc309	EC	SPX1/SPX2	MF21	GC1			24078
GC72GC1_806rcbc291							
GC100GC1_806rcbc381	EC	SPX1/SPX2	MF21	GC1			17335
GC84GC2_806rcbc443	EC	SPX1/SPX2	MF21	GC2			107560
GC75GC2_806rcbc376	EC	phr1	MF21	GC2			66906
GC43GC1_806rcbc339	EC	nla	MF21	GC1			37348
GC105GC1_806rcbc306	Soil	Soil	MF21	GC1	105.0		289075
GC17GC2_806rcbc358	EC	pht1:1	MF21	GC2			50133
GC60GC2_806rcbc369	EC	pho2	MF21	GC2			74950
GC2GC1_806rcbc375	EC	Col	MF21	GC1	2.0	2014-02-03	47519
GC1GC1_806rcbc98	Root	phr1/phl1		A			34548
GC28GC1_806rcbc321	EC	pht1:1/pht1:4	MF21	GC1			105169
GC55GC1_806rcbc97	EC	pho2	MF21	GC1			96590
GC49GC2_806rcbc101	EC	nla	MF21	GC2			112797
syncomP9_160125	Root	phr1/phl1		A			55621
syncomP9_160126	Root	phr1/phl1		A			55621
GC71GC2_806rcbc352	EC	phr1	MF21	GC2			55857
syncomP53_160126	Agar	Agar		A			105804
syncomP53_160125	Agar	Agar		A			105804
GC36GC2_806rcbc368	EC	phf1	MF21	GC2			85626
GC99GC2_806rcbc338	Soil	Soil	MF21	GC2			169117
GC79GC2_806rcbc371	EC	phr1	MF21	GC2			23812
GC23GC2_806rcbc103	EC	pht1:1/pht1:4	MF21	GC2			103243
syncomP93_160126	Inoculum	Inoculum		B			115702
syncomP93_160125	Inoculum	Inoculum		B			115702
GC38GC2_806rcbc346	EC	phf1	MF21	GC2			87423
GC98GC2_806rcbc388	Soil	Soil	MF21	GC2			218115
GC84GC1_806rcbc416	EC	phr1	MF21	GC1			38107
syncomP41_160125	Root	phf1		B			7993
syncomP41_160126	Root	phf1		B			7993
GC9GC2_806rcbc386	EC	Col	MF21	GC2			82889
GC73GC2_806rcbc364	EC	phr1	MF21	GC2			45235
GC97GC1_806rcbc181	EC	SPX1/SPX2	MF21	GC1			198505
GC25GC2_806rcbc421	EC	pht1:1/pht1:4	MF21	GC2			101617
syncomP81_160125	Agar	Agar		B			1427
GC1GC2_806rcbc457	EC	Col	MF21	GC2			52708
syncomP81_160126	Agar	Agar		B			1427
GC89GC2_806rcbc306	EC	SPX1/SPX2	MF21	GC2			100611
syncomP10_160125	Root	Col-0		A			41779
syncomP10_160126	Root	Col-0		A			41779
GC95GC2_806rcbc468	Soil	Soil	MF21	GC2			140486
GC20GC2_806rcbc413	EC	pht1:1	MF21	GC2			114653
GC51GC2_806rcbc423	EC	pho2	MF21	GC2			81935
GC46GC1_806rcbc317	EC	nla	MF21	GC1			5119
GC37GC2_806rcbc116	EC	phf1	MF21	GC2			63723
GC21GC2_806rcbc405	EC	pht1:1/pht1:4	MF21	GC2			80795
GC76GC2_806rcbc473	EC	phr1	MF21	GC2			85698
GC23GC1_806rcbc182							
GC31GC2_806rcbc449	EC	phf1	MF21	GC2			40403
GC12GC1_806rcbc190	EC	pht1:1	MF21	GC1	12.0		4210
syncomP23_160126	Root	Col-0		B			43921
syncomP23_160125	Root	Col-0		B			43921
GC56GC1_806rcbc357	EC	pho2	MF21	GC1			40635
GC106GC1_806rcbc186	Soil	Soil	MF21	GC1	106.0		239342
GC93GC2_806rcbc137	Soil	Soil	MF21	GC2			124890
GC73GC2_806rcbc172	EC	phr1	MF21	GC2			45235
GC94GC2_806rcbc120	Soil	Soil	MF21	GC2			172432
GC33GC2_806rcbc463	EC	phf1	MF21	GC2			89760
syncomP72_160126	Agar	Agar		B			81712
syncomP72_160125	Agar	Agar		B			81712
GC56GC2_806rcbc455	EC	pho2	MF21	GC2			49955
GC95GC2_806rcbc180	Soil	Soil	MF21	GC2			140486
GC28GC2_806rcbc451	EC	pht1:1/pht1:4	MF21	GC2			53875
GC90GC2_806rcbc107	EC	SPX1/SPX2	MF21	GC2			178887
GC100GC2_806rcbc303	Soil	Soil	MF21	GC2			235679
GC52GC1_806rcbc107							
GC81GC2_806rcbc400	EC	SPX1/SPX2	MF21	GC2			110815
syncomP22_160126	Root	Col-0		B			40640
syncomP22_160125	Root	Col-0		B			40640
GC22GC2_806rcbc126	EC	pht1:1/pht1:4	MF21	GC2			108820
GC43GC2_806rcbc298	EC	nla	MF21	GC2			93608
GC55GC2_806rcbc363	EC	pho2	MF21	GC2			79885
GC75GC2_806rcbc184	EC	phr1	MF21	GC2			66906
GC15GC2_806rcbc342	EC	pht1:1	MF21	GC2			72656
GC70GC1_806rcbc149							
GC45GC1_806rcbc170	EC	nla	MF21	GC1			68971
syncomP73_160126	Agar	Agar		B			162572
syncomP73_160125	Agar	Agar		B			162572
GC3GC1_806rcbc127	EC	Col	MF21	GC1	3.0	2014-02-03	39390
GC61GC2_806rcbc138							
GC53GC1_806rcbc349	EC	pho2	MF21	GC1			68797
syncomP40_160125	Root	Col-0		B			11108
syncomP40_160126	Root	Col-0		B			11108
GC22GC1_806rcbc376	EC	pht1:1/pht1:4	MF21	GC1			28011
syncomP80_160125	Agar	Agar		B			138168
syncomP80_160126	Agar	Agar		B			138168
GC43GC2_806rcbc394	EC	nla	MF21	GC2			93608
GC7GC1_806rcbc316	EC	Col	MF21	GC1	7.0	2014-02-03	81114
GC83GC2_806rcbc296	EC	SPX1/SPX2	MF21	GC2			91621
GC93GC1_806rcbc329	EC	SPX1/SPX2	MF21	GC1			59271
GC71GC2_806rcbc448	EC	phr1	MF21	GC2			55857
GC79GC2_806rcbc467	EC	phr1	MF21	GC2			23812
syncomP11_160125	Root	Col-0		A			46256
syncomP11_160126	Root	Col-0		A			46256
GC2GC2_806rcbc362	EC	Col	MF21	GC2			103930
GC73GC1_806rcbc363							
GC45GC2_806rcbc158	EC	nla	MF21	GC2			71483
GC100GC2_806rcbc399	Soil	Soil	MF21	GC2			235679
GC44GC2_806rcbc141	EC	nla	MF21	GC2			100396
GC106GC1_806rcbc378	Soil	Soil	MF21	GC1	106.0		239342
GC14GC1_806rcbc118	EC	pht1:1	MF21	GC1	14.0		15851
GC62GC2_806rcbc302							
GC59GC2_806rcbc452	EC	pho2	MF21	GC2			67160
GC29GC2_806rcbc385	EC	pht1:1/pht1:4	MF21	GC2			88181
GC3GC2_806rcbc420	EC	Col	MF21	GC2			110458
GC89GC1_806rcbc169	EC	phr1	MF21	GC1			17315
GC63GC2_806rcbc453							
syncomP52_160126	Agar	Agar		A			84450
GC95GC2_806rcbc372	Soil	Soil	MF21	GC2			140486
syncomP52_160125	Agar	Agar		A			84450
GC88GC2_806rcbc139	EC	SPX1/SPX2	MF21	GC2			74845
syncomP8_160125	Root	phr1/phl1		A			31634
syncomP8_160126	Root	phr1/phl1		A			31634
GC18GC2_806rcbc159	EC	pht1:1	MF21	GC2			81106
GC21GC1_806rcbc356	EC	pht1:1/pht1:4	MF21	GC1			33670
GC57GC2_806rcbc337	EC	pho2	MF21	GC2			72532
GC17GC1_806rcbc350	EC	pht1:1	MF21	GC1	17.0		6527
GC55GC2_806rcbc459	EC	pho2	MF21	GC2			79885
syncomP92_160126	Inoculum	Inoculum		B			164692
syncomP92_160125	Inoculum	Inoculum		B			164692
GC31GC2_806rcbc353	EC	phf1	MF21	GC2			40403
GC34GC1_806rcbc460	EC	phf1	MF21	GC1			29634
syncomP5_160125	Root	phf1		A			13605
syncomP5_160126	Root	phf1		A			13605
syncomP61_160125	Agar	Agar		A			122627
syncomP61_160126	Agar	Agar		A			122627
GC53GC2_806rcbc105	EC	pho2	MF21	GC2			71706
GC39GC1_806rcbc142	EC	phf1	MF21	GC1			8415
GC29GC2_806rcbc289	EC	pht1:1/pht1:4	MF21	GC2			88181
GC2GC2_806rcbc458	EC	Col	MF21	GC2			103930
GC40GC2_806rcbc118	EC	phf1	MF21	GC2			33993
GC81GC1_806rcbc288							
GC26GC2_806rcbc422	EC	pht1:1/pht1:4	MF21	GC2			110946
GC42GC2_806rcbc188	EC	nla	MF21	GC2			136215
syncomP30_160125	Root	phr1/phl1		B			15036
syncomP30_160126	Root	phr1/phl1		B			15036
GC16GC1_806rcbc328	EC	pht1:1	MF21	GC1	16.0		31924
GC14GC2_806rcbc403	EC	pht1:1	MF21	GC2			56504
GC32GC1_806rcbc326							
GC72GC2_806rcbc341	EC	phr1	MF21	GC2			59567
GC103GC1_806rcbc150	Soil	Soil	MF21	GC1	103.0		217547
