sample-id	Fraction	Genotype	Soil	Experiment	lowgermination	replant	Depth
GC52GC2_806rcbc129	EC	pho2	MF21	GC2			94083
GC8GC2_806rcbc323	EC	Col	MF21	GC2			88558
GC13GC2_806rcbc366	EC	pht1:1	MF21	GC2			76911
GC38GC1_806rcbc315	EC	phf1	MF21	GC1			19921
GC54GC1_806rcbc161	EC	pho2	MF21	GC1			35133
GC40GC1_806rcbc168							
syncomP35_160125	Root	phf1		B			40443
GC5GC2_806rcbc387	EC	Col	MF21	GC2			89372
syncomP35_160126	Root	phf1		B			40443
GC91GC2_806rcbc301	Soil	Soil	MF21	GC2			223301
GC20GC2_806rcbc125	EC	pht1:1	MF21	GC2			114653
GC83GC1_806rcbc298	EC	phr1	MF21	GC1			8552
GC86GC1_806rcbc372							
GC10GC2_806rcbc121	EC	Col	MF21	GC2			90835
syncomP64_160125	Agar	Agar		A			64111
syncomP64_160126	Agar	Agar		A			64111
GC85GC1_806rcbc154	EC	phr1	MF21	GC1			37699
GC64GC2_806rcbc335							
GC75GC1_806rcbc293							
GC107GC1_806rcbc354	Soil	Soil	MF21	GC1	107.0		240209
GC41GC2_806rcbc322	EC	nla	MF21	GC2			85567
syncomP69_160125	Agar	Agar		B			87781
syncomP69_160126	Agar	Agar		B			87781
GC110GC1_806rcbc426	Soil	Soil	MF21	GC1	110.0		212672
GC24GC2_806rcbc314	EC	pht1:1/pht1:4	MF21	GC2			83310
syncomP57_160126	Agar	Agar		B			149162
syncomP57_160125	Agar	Agar		B			149162
GC85GC2_806rcbc365	EC	SPX1/SPX2	MF21	GC2			3957
GC34GC2_806rcbc142	EC	phf1	MF21	GC2			81899
GC27GC1_806rcbc116	EC	pht1:1/pht1:4	MF21	GC1			52019
GC80GC2_806rcbc123	EC	phr1	MF21	GC2			81073
GC37GC1_806rcbc297							
GC35GC1_806rcbc111	EC	phf1	MF21	GC1			26633
syncomP38_160125	Root	phr1/phl1		B			32049
syncomP38_160126	Root	phr1/phl1		B			32049
GC53GC2_806rcbc393	EC	pho2	MF21	GC2			71706
GC91GC1_806rcbc335	EC	SPX1/SPX2	MF21	GC1			23075
GC74GC1_806rcbc296							
GC31GC1_806rcbc351	EC	phf1	MF21	GC1			108304
syncomP14_160125	Root	phf1		A			5761
GC47GC2_806rcbc96	EC	nla	MF21	GC2			52599
syncomP14_160126	Root	phf1		A			5761
GC65GC2_806rcbc148							
syncomP85_160125	Agar	Agar		B			138479
GC98GC2_806rcbc292	Soil	Soil	MF21	GC2			218115
syncomP85_160126	Agar	Agar		B			138479
GC87GC2_806rcbc128	EC	SPX1/SPX2	MF21	GC2			88292
GC48GC2_806rcbc440	EC	nla	MF21	GC2			29844
GC8GC2_806rcbc419	EC	Col	MF21	GC2			88558
syncomP45_160125	Agar	Agar		A			35469
syncomP45_160126	Agar	Agar		A			35469
GC78GC1_806rcbc292							
GC9GC2_806rcbc290	EC	Col	MF21	GC2			82889
GC14GC2_806rcbc115	EC	pht1:1	MF21	GC2			56504
syncomP88_160125	Inoculum	Inoculum		A			128429
syncomP88_160126	Inoculum	Inoculum		A			128429
GC44GC2_806rcbc429	EC	nla	MF21	GC2			100396
GC64GC1_806rcbc302							
GC99GC2_806rcbc146	Soil	Soil	MF21	GC2			169117
syncomP76_160126	Agar	Agar		A			104877
syncomP76_160125	Agar	Agar		A			104877
syncomP48_160125	Agar	Agar		A			69041
syncomP48_160126	Agar	Agar		A			69041
GC26GC2_806rcbc134	EC	pht1:1/pht1:4	MF21	GC2			110946
GC41GC2_806rcbc418	EC	nla	MF21	GC2			85567
GC102GC1_806rcbc318	Soil	Soil	MF21	GC1	102.0		305957
GC106GC1_806rcbc474	Soil	Soil	MF21	GC1	106.0		239342
syncomP27_160126	Root	phf1		B			20924
syncomP27_160125	Root	phf1		B			20924
GC43GC1_806rcbc147	EC	nla	MF21	GC1			37348
syncomP19_160125	Root	Col-0		A			26579
syncomP19_160126	Root	Col-0		A			26579
GC58GC1_806rcbc175	EC	pho2	MF21	GC1			23796
GC12GC2_806rcbc415	EC	pht1:1	MF21	GC2			73797
GC94GC2_806rcbc312	Soil	Soil	MF21	GC2			172432
GC92GC2_806rcbc168	Soil	Soil	MF21	GC2			121869
GC56GC1_806rcbc165	EC	pho2	MF21	GC1			40635
GC85GC2_806rcbc461	EC	SPX1/SPX2	MF21	GC2			3957
GC24GC2_806rcbc410	EC	pht1:1/pht1:4	MF21	GC2			83310
GC64GC2_806rcbc431							
GC2GC2_806rcbc170	EC	Col	MF21	GC2			103930
GC93GC1_806rcbc137	EC	SPX1/SPX2	MF21	GC1			59271
GC83GC2_806rcbc392	EC	SPX1/SPX2	MF21	GC2			91621
syncomP33_160126	Root	Col-0		B			139893
syncomP33_160125	Root	Col-0		B			139893
GC42GC1_806rcbc314	EC	nla	MF21	GC1			39245
GC73GC1_806rcbc171							
GC2GC1_806rcbc183	EC	Col	MF21	GC1	2.0	2014-02-03	47519
GC31GC1_806rcbc301	EC	phf1	MF21	GC1			108304
syncomP62_160126	Agar	Agar		A			118553
syncomP62_160125	Agar	Agar		A			118553
syncomP6_160126	Root	phf1		A			5184
syncomP6_160125	Root	phf1		A			5184
GC53GC1_806rcbc157	EC	pho2	MF21	GC1			68797
GC79GC1_806rcbc300							
GC74GC1_806rcbc104							
GC45GC1_806rcbc362	EC	nla	MF21	GC1			68971
GC108GC1_806rcbc295							
GC5GC1_806rcbc338	EC	Col	MF21	GC1	5.0	2014-02-03	6745
GC78GC2_806rcbc475	EC	phr1	MF21	GC2			28990
GC13GC2_806rcbc462	EC	pht1:1	MF21	GC2			76911
syncomP91_160125	Inoculum	Inoculum		B			145272
syncomP91_160126	Inoculum	Inoculum		B			145272
GC110GC1_806rcbc138	Soil	Soil	MF21	GC1	110.0		212672
GC11GC2_806rcbc300	EC	pht1:1	MF21	GC2			83658
syncomP51_160125	Agar	Agar		A			126681
syncomP51_160126	Agar	Agar		A			126681
GC55GC2_806rcbc171	EC	pho2	MF21	GC2			79885
GC46GC1_806rcbc125	EC	nla	MF21	GC1			5119
GC94GC1_806rcbc380	EC	SPX1/SPX2	MF21	GC1			24277
GC98GC2_806rcbc100	Soil	Soil	MF21	GC2			218115
GC48GC1_806rcbc370	EC	nla	MF21	GC1			7114
GC78GC1_806rcbc100							
GC15GC2_806rcbc150	EC	pht1:1	MF21	GC2			72656
GC75GC1_806rcbc101							
GC49GC2_806rcbc389	EC	nla	MF21	GC2			112797
GC19GC1_806rcbc379	EC	pht1:1	MF21	GC1			4034
GC17GC2_806rcbc166	EC	pht1:1	MF21	GC2			50133
GC109GC1_806rcbc185	Soil	Soil	MF21	GC1	109.0		321658
GC103GC1_806rcbc342	Soil	Soil	MF21	GC1	103.0		217547
GC16GC1_806rcbc136	EC	pht1:1	MF21	GC1	16.0		31924
syncomP12_160126	Root	Col-0		A			55169
syncomP12_160125	Root	Col-0		A			55169
GC32GC1_806rcbc134							
GC37GC1_806rcbc105							
syncomP83_160126	Agar	Agar		B			112366
syncomP83_160125	Agar	Agar		B			112366
GC48GC2_806rcbc152	EC	nla	MF21	GC2			29844
GC23GC1_806rcbc374							
syncomP43_160126	Agar	Agar		A			85876
syncomP43_160125	Agar	Agar		A			85876
GC71GC2_806rcbc160	EC	phr1	MF21	GC2			55857
GC4GC2_806rcbc162	EC	Col	MF21	GC2			90516
syncomP70_160125	Agar	Agar		B			150950
syncomP70_160126	Agar	Agar		B			150950
GC77GC2_806rcbc378	EC	phr1	MF21	GC2			73471
GC77GC1_806rcbc145							
GC71GC1_806rcbc144							
GC9GC1_806rcbc139	EC	Col	MF21	GC1	9.0	2014-02-03	4054
GC83GC1_806rcbc106	EC	phr1	MF21	GC1			8552
GC62GC2_806rcbc110							
syncomP21_160125							
syncomP21_160126							
GC48GC2_806rcbc344	EC	nla	MF21	GC2			29844
GC94GC2_806rcbc408	Soil	Soil	MF21	GC2			172432
GC24GC1_806rcbc340	EC	pht1:1/pht1:4	MF21	GC1			35288
GC87GC2_806rcbc416	EC	SPX1/SPX2	MF21	GC2			88292
GC52GC2_806rcbc321	EC	pho2	MF21	GC2			94083
GC36GC1_806rcbc344	EC	phf1	MF21	GC1			9463
GC97GC1_806rcbc141	EC	SPX1/SPX2	MF21	GC1			198505
GC91GC1_806rcbc143	EC	SPX1/SPX2	MF21	GC1			23075
GC36GC2_806rcbc176	EC	phf1	MF21	GC2			85626
GC76GC1_806rcbc112							
syncomP71_160125	Agar	Agar		B			126427
syncomP71_160126	Agar	Agar		B			126427
GC38GC2_806rcbc154	EC	phf1	MF21	GC2			87423
GC91GC2_806rcbc109	Soil	Soil	MF21	GC2			223301
GC31GC2_806rcbc161	EC	phf1	MF21	GC2			40403
GC40GC1_806rcbc360							
GC69GC2_806rcbc336							
